"","text1","text2","text3","text4","text5","text6","text7","text8","text9","text10","text11","text12","text13","text14","text15","text16","text17","text18","text19","text20","text21","text22","text23"
"text1",1.00000000000005,0.60809968248454,0.55876661917969,0.87658242852273,0.20121939404286,0.74573039230228,0.57391378731506,0.48788870055172,0.4813237422127,0.39856963773659,0.34466696912533,0.40013616470292,0.47933546861204,0.10451653163232,0.30452446212833,0.2185653623729,0.4129198558763,0.11086536832076,0.60208346575854,0.36974972664792,0.08542392608816,0.37895942175852,0.32646383797038
"text2",0.60809968248454,1.00000000000001,0.69157043228003,0.67395288800039,0.31024147969092,0.66274587972641,0.38500091415412,0.43057890228876,0.45374969029826,0.35579742627015,0.26360033262543,0.30048646253064,0.45213798837897,0.16672104548138,0.30477270453273,0.24185989984156,0.2783698544638,0.17931043551825,0.49646449081775,0.2361377149764,0.13271005206929,0.30555319969189,0.38938779055357
"text3",0.55876661917969,0.69157043228003,1.00000000000013,0.70279426695887,0.34065731345175,0.77037725110157,0.3559033618843,0.48879519039345,0.42426727359256,0.36842256816464,0.29662670494268,0.35297958827421,0.42334869611486,0.13920283786341,0.28225107612776,0.1998660905274,0.26167390013767,0.14768829423168,0.54999345685472,0.21841613046026,0.07418799375986,0.29797560932246,0.45681602388148
"text4",0.87658242852273,0.67395288800039,0.70279426695887,1.00000000000009,0.26217060678139,0.85787467982771,0.58224668964298,0.52685239655897,0.53857879658554,0.47027381954838,0.38305503897056,0.44327406332139,0.53675454619744,0.12415602716878,0.36772848758378,0.21203895606363,0.40970361074233,0.13328383932837,0.6797297523835,0.36097428827972,0.07896908529585,0.4329741747217,0.40238003126011
"text5",0.20121939404286,0.31024147969092,0.34065731345175,0.26217060678139,0.99999999999997,0.24990142348466,0.14057176525055,0.24254524063947,0.25745133673183,0.19725523025262,0.0906668835679,0.16324250714686,0.25755454742868,0.21958960949103,0.17564050171859,0.11103101604793,0.12694681624257,0.2307181140519,0.29952236559431,0.10482838647442,0.06695309928346,0.1481868558348,0.15459089830023
"text6",0.74573039230228,0.66274587972641,0.77037725110157,0.85787467982771,0.24990142348466,1.00000000000015,0.47349645589851,0.4096860203052,0.40474788518239,0.38586920851819,0.23405895484412,0.35598811369526,0.4030727533445,0.09111185039103,0.32927186943787,0.14078073917271,0.22368202193053,0.09261596873349,0.59959532461083,0.18099188901709,0.05090725259299,0.28979087092071,0.38121599837592
"text7",0.57391378731506,0.38500091415412,0.3559033618843,0.58224668964298,0.14057176525055,0.47349645589851,1.00000000000008,0.36891034955233,0.45774341889741,0.40085263251735,0.31732532468025,0.35344893822148,0.45567539291105,0.08288515610606,0.29586305165,0.22988622041462,0.41390849135035,0.08984534945733,0.45510060896666,0.38567182147328,0.0760777449882,0.64130905667025,0.27526058008284
"text8",0.48788870055172,0.43057890228876,0.48879519039345,0.52685239655897,0.24254524063947,0.4096860203052,0.36891034955233,0.99999999999992,0.54885629686673,0.41460477688183,0.29139933350572,0.54089720577474,0.54831086533877,0.18856931121265,0.3434095617105,0.35995145943579,0.56249145718882,0.20949487281633,0.72787572748141,0.53618767711352,0.066103317704,0.41683139453982,0.36832589850469
"text9",0.4813237422127,0.45374969029826,0.42426727359256,0.53857879658554,0.25745133673183,0.40474788518239,0.45774341889741,0.54885629686673,0.99999999999992,0.68383012416706,0.40390346182443,0.59904411392765,0.99964075977729,0.41930890447596,0.68120048491556,0.42076387333992,0.67920777759044,0.43076687664788,0.63620432643019,0.61955244034022,0.15729464434619,0.5294856913155,0.52739332419991
"text10",0.39856963773659,0.35579742627015,0.36842256816464,0.47027381954838,0.19725523025262,0.38586920851819,0.40085263251735,0.41460477688183,0.68383012416706,1.00000000000016,0.32865787771814,0.55655830127227,0.68242684775356,0.17283043474186,0.55723909336903,0.26834883545102,0.49229926678103,0.18561744270661,0.55772530141055,0.47034312717857,0.08798267164984,0.49600213225661,0.49035277514784
