"doc_title","word","tfidf"
"text11","packs",7.96145923168137
"text11","stuffs",6.08636786632799
"text11","wool",5.20347415792588
"text11","broad-cloths",4.42303290648965
"text11","merchant-adventurers",4.24279136141445
"text11","manufactors",4.08518350805278
"text11","foreigners",3.31378915840787
"text11","thousand",3.30011525834289
"text11","growers",3.18209352106083
"text11","african",3.18209352106083
"text11","clothiers",3.10801248966965
"text11","ware",3.09977877602002
"text11","chapmen",3.03867137875852
